Sr No,Date dd/mm/yyyy,Startup Name,Startup type,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,GREEN,Success
641,03-08-2017,Zoctr,Non-Green,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,N/A,,0
642,04-08-2017,Lime Tray,Non-Green,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,N/A,,0
643,04-08-2017,CoutLoot,Non-Green,E-commerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,N/A,,0
644,04-08-2017,Box My Space,Non-Green,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,N/A,,0
645,05-08-2017,Curatio,Non-Green,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,N/A,,0
646,08-08-2017,New Castle Technologies,Non-Green,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,"2,43,000",,0
647,08-08-2017,My Forex Eye,Non-Green,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"2,20,000",,0
648,09-08-2017,TruxApp,Non-Green,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"31,00,000",,0
649,09-08-2017,CroFarm,Non-Green,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,"7,83,000",,0
650,09-08-2017,DoodhWala,Non-Green,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,N/A,,0
651,10-08-2017,Stayabode,Non-Green,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,N/A,,0
652,11-08-2017,Flipkart,Non-Green,E-commerce,Online Marketplace,Bangalore,Softbank,Private Equity,"2,50,00,00,000",,0
653,11-08-2017,Moong Labs,Non-Green,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,N/A,,0
654,11-08-2017,Ola Cabs,Non-Green,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,"3,60,00,000",,0
655,14-08-2017,Sports Flashes,Non-Green,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,N/A,,0
656,14-08-2017,Digilend,Non-Green,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"3,12,000",,0
657,15-08-2017,KNAB Finance,Non-Green,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"3,85,000",,0
658,17-08-2017,Get Simpl,Non-Green,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,N/A,,0
659,20-08-2017,Rootefy,Non-Green,E-commerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,"1,87,000",,0
660,21-08-2017,Uniphore,Non-Green,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,"68,00,000",,0
661,21-08-2017,Cerebroz,Non-Green,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,"7,34,000",,0
662,22-08-2017,Flochat,Non-Green,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,N/A,,0
663,22-08-2017,EasyGov,Non-Green,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,N/A,,0
664,23-08-2017,Milk Basket,Non-Green,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,N/A,,0
665,23-08-2017,Dhruva,Non-Green,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"8,00,00,000",,0
666,23-08-2017,Bombay Shaving Company,Non-Green,E-commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,"23,00,000",,0
667,23-08-2017,Awign,Non-Green,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,N/A,,0
668,23-08-2017,Indiez,Non-Green,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,"5,00,000",,0
669,24-08-2017,Ezetap,Non-Green,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"1,60,00,000",,0
670,25-08-2017,Ink Monk,Non-Green,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"7,50,000",,0
671,25-08-2017,Medinfi,Non-Green,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,"1,25,000",,0
672,28-08-2017,Mobikon,Non-Green,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"70,00,000",,0
673,29-08-2017,CureFit,Non-Green,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,"2,50,00,000",,0
674,29-08-2017,Doxper,Non-Green,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"7,50,000",,0
675,29-08-2017,Fieldassist,Non-Green,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,N/A,,0
676,30-08-2017,Treebo,Non-Green,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"3,40,00,000",,0
677,30-08-2017,MedGenome,Non-Green,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"3,00,00,000",,0
678,01-07-2017,Billion Loans,Non-Green,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,"10,00,000",,0
679,03-07-2017,Ecolibriumenergy,Non-Green,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"26,00,000",,0
680,04-07-2017,Droom,Non-Green,E-commerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"2,00,00,000",,0
681,05-07-2017,Jumbotail,Non-Green,E-commerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"85,00,000",,0
682,05-07-2017,Moglix,Non-Green,E-commerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"1,20,00,000",,0
683,05-07-2017,Timesaverz,Non-Green,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,"10,00,000",,0
684,06-07-2017,Minjar,Non-Green,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,N/A,,0
685,06-07-2017,MyCity4kids,Non-Green,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,N/A,Seed Funding,N/A,,0
686,07-07-2017,Clip App,Non-Green,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,"10,00,000",,0
687,07-07-2017,Upwardly.in,Non-Green,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,N/A,,0
688,10-07-2017,Autorox.co,Non-Green,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,"30,00,000",,0
689,11-07-2017,Fabogo,Non-Green,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,"22,50,000",,0
690,11-07-2017,Flickstree,Non-Green,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"4,64,000",,0
691,11-07-2017,Design Cafe,Non-Green,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,N/A,,0
692,12-07-2017,Innoviti,Non-Green,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"1,85,00,000",,0
693,12-07-2017,VDeliver,Non-Green,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,N/A,,0
694,12-07-2017,Bottr.me,Non-Green,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,N/A,,0
695,12-07-2017,Arcatron,Non-Green,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,N/A,,0
696,14-07-2017,QwikSpec,Non-Green,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"5,40,000",,0
697,14-07-2017,Chumbak,Non-Green,E-commerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"17,00,000",,0
698,17-07-2017,Increff,Non-Green,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"20,00,000",,0
699,17-07-2017,Vayana,Non-Green,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"40,00,000",,0
700,18-07-2017,MObiquest,Non-Green,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,N/A,,0
701,18-07-2017,Ambee,Non-Green,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,N/A,,0
702,18-07-2017,Ideal Insurance,Non-Green,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,N/A,,0
703,18-07-2017,Hypernova Interactive,Non-Green,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,N/A,,0
704,19-07-2017,Rentomojo,Non-Green,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,"1,00,00,000",,0
705,19-07-2017,AirCTO,Non-Green,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,N/A,,0
706,19-07-2017,Playablo,Non-Green,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,"6,00,000",,0
707,20-07-2017,Trupay,Non-Green,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,"7,00,000",,0
708,21-07-2017,Brick2Wall,Non-Green,E-commerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"2,00,000",,0
709,21-07-2017,FableStreet,Non-Green,E-commerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,N/A,,0
710,21-07-2017,Monsoon Fintech,Non-Green,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,N/A,,0
711,21-07-2017,MonkeyBox,Non-Green,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,N/A,,0
712,25-07-2017,Noticeboard,Non-Green,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,"12,00,000",,0
713,25-07-2017,Byju\\xe2\\x80\\x99s,Non-Green,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,"3,50,00,000",,0
714,26-07-2017,Creator\\xe2\\x80\\x99s Gurukul,Non-Green,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,N/A,,0
715,26-07-2017,Fab Hotels,Non-Green,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,"2,50,00,000",,0
716,26-07-2017,ThinkerBell,Non-Green,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,"2,00,000",,0
717,27-07-2017,1mg,Non-Green,E-commerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"1,50,00,000",,0
718,28-07-2017,Jhakaas,Non-Green,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed Funding,N/A,,0
719,28-07-2017,BigStylist,Non-Green,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,"12,50,000",,0
720,28-07-2017,Gympik.com,Non-Green,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,RoundGlass Partners,Seed Funding,N/A,,0
721,01-06-2017,Tripeur,Non-Green,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,N/A,,0
722,02-06-2017,RentOnGo,Non-Green,E-commerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,"2,34,000",,0
723,05-06-2017,Goomo,Non-Green,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,"5,00,00,000",,0
724,05-06-2017,MaxMyWealth,Non-Green,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,N/A,,0
725,06-06-2017,Spinny,Non-Green,E-commerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"10,00,000",,0
726,06-06-2017,Healthbuds,Non-Green,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,N/A,,0
727,06-06-2017,Ftcash,Non-Green,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,N/A,,0
728,06-06-2017,BHIVE Workspace,Non-Green,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,"12,00,000",,0
729,06-06-2017,wayForward,Non-Green,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,"10,00,000",,0
730,06-06-2017,GyanDhan,Non-Green,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,N/A,,0
731,06-06-2017,Hungry Foal,Non-Green,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private Equity,N/A,,0
732,07-06-2017,ZipLoan,Non-Green,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,"6,50,000",,0
733,07-06-2017,GrowFitter,Non-Green,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,"6,00,000",,0
734,08-06-2017,Stratfit,Non-Green,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,"2,32,000",,0
735,08-06-2017,Multiplier Solutions,Non-Green,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,"15,00,000",,0
736,08-06-2017,ABI Health,Non-Green,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,"15,00,000",,0
737,08-06-2017,Stockal,Non-Green,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,"3,50,000",,0
738,09-06-2017,Guidoo,Non-Green,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,"3,00,000",,0
739,09-06-2017,eSahai.in,Non-Green,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,"2,50,000",,0
740,12-06-2017,Loanmeet,Non-Green,Consumer Internet,Online peer-to-peer lending platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,N/A,,0
741,12-06-2017,LendingKart,Non-Green,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,"78,00,000",,0
742,12-06-2017,Boxx.ai,Non-Green,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"5,00,000",,0
743,12-06-2017,PeeSafe.in,Non-Green,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"10,00,000",,0
744,12-06-2017,Vista Rooms,Non-Green,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"7,76,000",,0
745,12-06-2017,CoverFox,Non-Green,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,"1,50,00,000",,0
746,13-06-2017,HyperTrack,Non-Green,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,N/A,,0
747,13-06-2017,Goodera,Non-Green,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,"55,00,000",,0
748,13-06-2017,Digit,Non-Green,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,N/A,,0
749,14-06-2017,Ola,Non-Green,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,"5,00,00,000",,0
750,14-06-2017,Vanitycask,Non-Green,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,N/A,,0
751,14-06-2017,MrNeeds,Non-Green,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,"5,00,000",,0
752,15-06-2017,MoneyTap,Non-Green,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"1,23,00,000",,0
753,16-06-2017,Goodbox,Non-Green,E-commerce,Mobile SAAS\\xc2\\xa0 E-commerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"10,00,000",,0
754,16-06-2017,Fincash,Non-Green,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"1,00,000",,0
755,16-06-2017,PortDesk,Non-Green,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,"20,00,000",,0
756,16-06-2017,EdgeFx,Non-Green,E-commerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,N/A,,0
757,16-06-2017,EazyDiner,Non-Green,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,N/A,,0
758,16-06-2017,HealthIntel,Non-Green,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,N/A,,0
759,19-06-2017,Unbxd,Non-Green,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,"1,25,00,000",,0
760,19-06-2017,DarwinBox,Non-Green,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,"40,00,000",,0
761,20-06-2017,ForeverShop,Non-Green,Consumer Internet,Mobile based E-commerce platform,Bangalore,91maker.com,Seed Funding,"3,00,000",,0
762,20-06-2017,Insider.in,Non-Green,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,"52,00,000",,0
763,21-06-2017,Fynd,Non-Green,E-commerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"24,00,000",,0
764,21-06-2017,Grow Fit,Non-Green,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,"45,00,000",,0
765,21-06-2017,Fabulyst,Non-Green,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,"2,15,000",,0
766,21-06-2017,mSwipe,Non-Green,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"3,10,00,000",,0
767,21-06-2017,OneAssist,Non-Green,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,N/A,,0
768,22-06-2017,Julia Computing,Non-Green,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,"46,00,000",,0
769,22-06-2017,Kissht,Non-Green,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,"20,00,000",,0
770,22-06-2017,Explore Life traveling,Non-Green,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"5,00,000",,0
771,23-06-2017,Loantap,Non-Green,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"40,00,000",,0
772,23-06-2017,Voxweb,Non-Green,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000",,0
773,26-06-2017,HUG Innovations,Non-Green,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"50,00,000",,0
774,26-06-2017,Flipkart,Non-Green,E-commerce,Online marketplace,Bangalore,Naspers,Private Equity,"7,10,00,000",,0
775,26-06-2017,V Resorts,Non-Green,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,"40,00,000",,0
776,27-06-2017,Stashfin,Non-Green,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"50,00,000",,0
777,27-06-2017,Formcept,Non-Green,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,N/A,,0
778,27-06-2017,Spares Hub,Non-Green,E-commerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"3,11,000",,0
779,28-06-2017,FiTraQ,Non-Green,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,N/A,,0
780,28-06-2017,Rubique,Non-Green,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"30,00,000",,0
781,28-06-2017,Niki.ai,Non-Green,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"20,00,000",,0
782,29-06-2017,Fitpass,Non-Green,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"10,00,000",,0
783,29-06-2017,ZingHR,Non-Green,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,N/A,,0
784,30-06-2017,Tagos Design,Non-Green,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,"50,00,000",,0
785,30-06-2017,UrbanClap,Non-Green,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"2,10,00,000",,0
786,01-05-2017,Ace2three,Non-Green,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,"7,37,00,000",,0
787,01-05-2017,Power2SME,Non-Green,E-commerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,"1,00,00,000",,0
788,02-05-2017,Innovapptive,Non-Green,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,"15,00,000",,0
789,02-05-2017,4tigo,Non-Green,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"1,00,00,000",,0
790,02-05-2017,SMECorner,Non-Green,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,N/A,,0
791,02-05-2017,ZippServe,Non-Green,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,"3,90,000",,0
792,03-05-2017,Ola,Non-Green,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,"10,45,00,000",,0
793,03-05-2017,Sumeru,Non-Green,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,"10,00,000",,0
794,04-05-2017,Healthians,Non-Green,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,N/A,,0
795,05-05-2017,HealthMir,Non-Green,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,N/A,,0
796,05-05-2017,Uactive,Non-Green,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,N/A,,0
797,05-05-2017,i-lend,Non-Green,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,N/A,,0
798,05-05-2017,Good Methods Global,Non-Green,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,N/A,,0
799,05-05-2017,Balance App,Non-Green,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,"2,33,000",,0
800,08-05-2017,YepMe,Non-Green,E-commerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"7,00,000",,0
801,08-05-2017,Nightstay,Non-Green,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,N/A,,0
802,08-05-2017,Devourin,Non-Green,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,N/A,,0
803,08-05-2017,MyGreens,Non-Green,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"10,00,000",,0
804,08-05-2017,Ace Turtle,Non-Green,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"50,00,000",,0
805,08-05-2017,CureFit,Non-Green,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"32,00,000",,0
806,09-05-2017,Curie Labs,Non-Green,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,"50,000",,0
